;Unnamed: 0;episode;advantage;reward;value_loss;policy_loss;total_loss;cx;cvx;py;px;pav
361793;793;289500;;;;;;-0,107117459;0,089967407;0,999801745;0,019911579;-0,001950694
361794;794;289500;;;;;;-0,093084894;0,28638649;0,99999252;0,003867791;-0,390373796
361795;795;289500;;;;;;-0,075531825;0,254195511;0,999817236;-0,019117923;-0,328053623
361796;796;289500;;;;;;-0,068547986;0,017022107;0,99977137;-0,021382435;0,140390962
361797;797;289500;;;;;;-0,066687495;0,034735188;0,999892276;-0,014677776;0,079880156
361798;798;289500;;;;;;-0,057846162;0,193561226;0,999713796;-0,023923324;-0,273308247
361799;799;289500;;;;;;-0,046605997;0,156711638;0,999190399;-0,04023116;-0,235114887
361800;800;289500;;;;;;-0,044968851;-0,054198135;0,999209185;-0,039761851;0,151713356
361801;801;289500;;;;;;-0,04987983;-0,086742647;0,99958088;-0,028949332;0,173497349
361802;802;289500;;;;;;-0,050172284;0,044886086;0,999539184;-0,030354907;-0,13782464
361803;803;289500;;;;;;-0,048568722;0,012123006;0,999265755;-0,038313848;-0,112119667
361804;804;289500;;;;;;-0,05928215;-0,267104983;0,99972249;-0,023557216;0,427200109
361805;805;289500;;;;;;-0,078697041;-0,311002642;0,999971247;0,007583243;0,505069077
361806;806;289500;;;;;;-0,090158463;-0,091750696;0,999741;0,022758124;0,069133811
361807;807;289500;;;;;;-0,088577047;0,093472183;0,999920138;0,01263793;-0,288255125
361808;808;289500;;;;;;-0,086907119;-0,015336003;0,999993243;0,003676104;-0,046734516
361809;809;289500;;;;;;-0,094132856;-0,166066989;0,9999021;0,013992505;0,279633462
361810;810;289500;;;;;;-0,09879604;-0,013650819;0,999794222;0,02028582;-0,013207887
361811;811;289500;;;;;;-0,092186235;0,168623641;0,999988615;0,004771866;-0,370741546
361812;812;289500;;;;;;-0,086901866;0,027288528;0,999973235;-0,007316349;-0,073829263
361813;813;289500;;;;;;-0,092945471;-0,16298236;0,999991968;0,00400798;0,320404291
361814;814;289500;;;;;;-0,096751861;0,005240874;0,999938623;0,01107926;-0,01856756
361815;815;289500;;;;;;-0,088970698;0,185695112;0,999986689;-0,005159657;-0,385198563
361816;816;289500;;;;;;-0,084120229;0,006520462;0,999880197;-0,015478772;-0,022058524
361817;817;289500;;;;;;-0,092117839;-0,197968572;0,999999997;8,08E-05;0,392870784
361818;818;289500;;;;;;-0,097430162;-0,01035389;0,999949182;0,010081295;0,009698023
361819;819;289500;;;;;;-0,089570686;0,196941555;0,999977801;-0,006663098;-0,414394587
361820;820;289500;;;;;;-0,085218474;-0,012294604;0,999865552;-0,01639752;0,00961075
361821;821;289500;;;;;;-0,09641394;-0,26429075;0,999985611;0,005364567;0,525319576
361822;822;289500;;;;;;-0,104292788;-0,032933891;0,999785789;0,020697244;0,060891673
361823;823;289500;;;;;;-0,09692879;0,198427528;0,999982721;0,005878589;-0,397996008
361824;824;289500;;;;;;-0,090070866;0,047581658;0,999974487;-0,007143262;-0,080358364
361825;825;289500;;;;;;-0,096708536;-0,189599887;0,999969291;0,007836913;0,41349718
